ProposalLineItemID,Proposal,Proposal Status,Status,Product,Product Wholesale price,Lookup  Buyer Company,Price,Auto Number,dev | adapatation,dev | create Compliance record,dev | create Graphics,dev | create order line item,dev | order,First Created,Last Updated,Open Comments
"000101 - Potato gnocchi 500gr [Ciemme, Italy][Shufersal] (Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy)","Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy",Approved,New,"000101 - Potato gnocchi 500gr [Ciemme, Italy][Shufersal]",,Shufersal,,#054,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000068 - tomatoes
  gnocchi 500gr [Ciemme, Italy][Shufersal] (Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy)","Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy",Approved,New,"000068 - tomatoes
  gnocchi 500gr [Ciemme, Italy][Shufersal]",,Shufersal,,#055,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000076 - Gluten-free gnocchi, 500 gr (KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal] (Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy)","Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy",Approved,New,"000076 - Gluten-free gnocchi, 500 gr (KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]",1.010,Shufersal,1.01,#056,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000069 - spinach
  gnocchi 500gr [Ciemme, Italy][Shufersal] (Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy)","Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy",Approved,New,"000069 - spinach
  gnocchi 500gr [Ciemme, Italy][Shufersal]",,Shufersal,,#057,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal] (Serena, organic dry fruits, Shufersal-)","Serena, organic dry fruits, Shufersal-",Approved,New,"000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]",0.820,Shufersal,0.82,#068,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000078 - sfogliette pizza 180 gr [EuroSnacks/ FornoDamiani, Italy][Shufersal] (sfogliette salty snacks, 180 gr, Shufersal- EuroSnacks/ FornoDamiani, Italy)","sfogliette salty snacks, 180 gr, Shufersal- EuroSnacks/ FornoDamiani, Italy",Approved,New,"000078 - sfogliette pizza 180 gr [EuroSnacks/ FornoDamiani, Italy][Shufersal]",,Shufersal,,#038,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000031 - Sultana raisins, Organic 250 gr, Shufersal [Ozgur, Turkey][Shufersal] (Sultanas Organic 250 and 500  gr., Shufersal- Ozgur, Turkey)","Sultanas Organic 250 and 500  gr., Shufersal- Ozgur, Turkey",Approved,New,"000031 - Sultana raisins, Organic 250 gr, Shufersal [Ozgur, Turkey][Shufersal]",,Shufersal,,#031,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000102 - Parsnip sweet potato&beetroot chips 85gr(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal] (Vegetable chips 85gr, Shufersal- Viube/Grupo Apex/ Mikso, Spain)","Vegetable chips 85gr, Shufersal- Viube/Grupo Apex/ Mikso, Spain",Approved,New,"000102 - Parsnip sweet potato&beetroot chips 85gr(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal]",,Shufersal,,#048,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000039 - wafer cubes hazel nuts 250 gr [Balconi, Italy][Shufersal] (wafer cubes, balconi, Yochananof- Balconi, Italy)","wafer cubes, balconi, Yochananof- Balconi, Italy",New,New,"000039 - wafer cubes hazel nuts 250 gr [Balconi, Italy][Shufersal]",,Yochananof,,#032,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000040 - wafer cubes chocolate 250 gr [Balconi, Italy][Shufersal] (wafer cubes, balconi, Yochananof- Balconi, Italy)","wafer cubes, balconi, Yochananof- Balconi, Italy",New,New,"000040 - wafer cubes chocolate 250 gr [Balconi, Italy][Shufersal]",,Yochananof,,#033,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000327 - wafers cocoa 175g [Balconi, Italy][Shufersal] (wafer cubes, balconi, Yochananof- Balconi, Italy)","wafer cubes, balconi, Yochananof- Balconi, Italy",New,New,"000327 - wafers cocoa 175g [Balconi, Italy][Shufersal]",0.600,Yochananof,0.6,#075,,No,No,No,,"By Operation Manager on 31 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000328 - wafers hazelnut 175g [Balconi, Italy][Shufersal] (wafer cubes, balconi, Yochananof- Balconi, Italy)","wafer cubes, balconi, Yochananof- Balconi, Italy",New,New,"000328 - wafers hazelnut 175g [Balconi, Italy][Shufersal]",0.600,Yochananof,0.6,#076,,No,No,No,,"By Operation Manager on 31 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
