Invoice ID,Receipt ID,Invoice ID/ Name (From Priority),Invoice Issue Date,Invoice/ Receivable files,Differnce between Shipping & Invoice (ILS),Order,Shipping (Lookup),Shipping,Shipment number (Buyer's ref.),Shipping Amount,Commission from Buyer (Eur/ $),VAT Amount ₪,"Grand total, before VAT ₪",Invoice Total Amount (After VAT) ₪,Exchange Rate (EU Central Bank),Received amount ₪,Buyer Company,Supplier,Status,Invoice type,Invoice description,Invoice company (Issuer),First Created,Order line (Order Line)
"20017, 20  - Order: 000215-SHF [115497],La Doria, Italy",,20017,24/4/2025,20017-10050.pdf,16720,Order: 000215-SHF [115497],"10  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 10  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy","20  - Order: 000215-SHF [115497],La Doria, Italy",,16720,585.2,,,,4.0924,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 10:13 AM",
"20018, 30  - Order: 000215-SHF [115497],La Doria, Italy",,20018,24/4/2025,20018-10051.pdf,16720,Order: 000215-SHF [115497],"10  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 10  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy","30  - Order: 000215-SHF [115497],La Doria, Italy",,16720,585.2,,,,4.0925,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 10:17 AM",
"20019, 30  - Order: 000215-SHF [115497],La Doria, Italy",,20019,24/4/2025,20019-10052.pdf,16720,Order: 000215-SHF [115497],"10  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 10  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy","30  - Order: 000215-SHF [115497],La Doria, Italy",,16720,585.2,,,,4.0924,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 10:21 AM",
"20020, 40  - Order: 000215-SHF [115497],La Doria, Italy",,20020,24/4/2025,20020-10054.pdf,16720,Order: 000215-SHF [115497],"10  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 10  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy","40  - Order: 000215-SHF [115497],La Doria, Italy",,16720,585.2,,,,4.0924,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 10:25 AM",
"20021, 40  - Order: 000215-SHF [115497],La Doria, Italy",,20021,24/4/2025,20021-10082.pdf,16720,Order: 000215-SHF [115497],"10  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 10  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy","40  - Order: 000215-SHF [115497],La Doria, Italy",,16720,585.2,,,,4.0888,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 10:32 AM",
"20022, 70  - Order: 000217-SHF [115501],Ardo, Belgium",,20022,24/4/2025,20022-10055.pdf,23796.72,Order: 000217-SHF [115501],"20  - Order: 000217-SHF [115501],Ardo, Belgium | 10  - Order: 000217-SHF [115501],Ardo, Belgium | 30  - Order: 000217-SHF [115501],Ardo, Belgium | 40  - Order: 000217-SHF [115501],Ardo, Belgium | 50  - Order: 000217-SHF [115501],Ardo, Belgium | 60  - Order: 000217-SHF [115501],Ardo, Belgium | 70  - Order: 000217-SHF [115501],Ardo, Belgium | 90  - Order: 000217-SHF [115501],Ardo, Belgium | 80  - Order: 000217-SHF [115501],Ardo, Belgium | 130  - Order: 000217-SHF [115501],Ardo, Belgium | 110  - Order: 000217-SHF [115501],Ardo, Belgium | 100  - Order: 000217-SHF [115501],Ardo, Belgium | 150  - Order: 000217-SHF [115501],Ardo, Belgium | 120  - Order: 000217-SHF [115501],Ardo, Belgium | 140  - Order: 000217-SHF [115501],Ardo, Belgium","70  - Order: 000217-SHF [115501],Ardo, Belgium",,23796.72,713.9016,,,,4.0924,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 10:39 AM",
"20023, 60  - Order: 000314-SHF [115550],Ardo, Belgium",,20023,24/4/2025,20023-10056.pdf,24008.4,Order: 000314-SHF [115550],"20  - Order: 000314-SHF [115550],Ardo, Belgium | 30  - Order: 000314-SHF [115550],Ardo, Belgium | 40  - Order: 000314-SHF [115550],Ardo, Belgium | 50  - Order: 000314-SHF [115550],Ardo, Belgium | 10  - Order: 000314-SHF [115550],Ardo, Belgium | 70  - Order: 000314-SHF [115550],Ardo, Belgium | 60  - Order: 000314-SHF [115550],Ardo, Belgium | 100  - Order: 000314-SHF [115550],Ardo, Belgium | 80  - Order: 000314-SHF [115550],Ardo, Belgium | 90  - Order: 000314-SHF [115550],Ardo, Belgium | 110  - Order: 000314-SHF [115550],Ardo, Belgium | 120  - Order: 000314-SHF [115550],Ardo, Belgium","60  - Order: 000314-SHF [115550],Ardo, Belgium",,24008.4,720.252,,,,4.0924,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 10:44 AM",
"20024, 100  - Order: 000314-SHF [115550],Ardo, Belgium",,20024,24/4/2025,20024-10057.pdf,23796,Order: 000314-SHF [115550],"20  - Order: 000314-SHF [115550],Ardo, Belgium | 30  - Order: 000314-SHF [115550],Ardo, Belgium | 40  - Order: 000314-SHF [115550],Ardo, Belgium | 50  - Order: 000314-SHF [115550],Ardo, Belgium | 10  - Order: 000314-SHF [115550],Ardo, Belgium | 70  - Order: 000314-SHF [115550],Ardo, Belgium | 60  - Order: 000314-SHF [115550],Ardo, Belgium | 100  - Order: 000314-SHF [115550],Ardo, Belgium | 80  - Order: 000314-SHF [115550],Ardo, Belgium | 90  - Order: 000314-SHF [115550],Ardo, Belgium | 110  - Order: 000314-SHF [115550],Ardo, Belgium | 120  - Order: 000314-SHF [115550],Ardo, Belgium","100  - Order: 000314-SHF [115550],Ardo, Belgium",,23796,713.88,,,,4.0924,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 10:49 AM",
"20025, 70  - Order: 000314-SHF [115550],Ardo, Belgium",,20025,24/4/2025,20025-10058.pdf,29399,Order: 000314-SHF [115550],"20  - Order: 000314-SHF [115550],Ardo, Belgium | 30  - Order: 000314-SHF [115550],Ardo, Belgium | 40  - Order: 000314-SHF [115550],Ardo, Belgium | 50  - Order: 000314-SHF [115550],Ardo, Belgium | 10  - Order: 000314-SHF [115550],Ardo, Belgium | 70  - Order: 000314-SHF [115550],Ardo, Belgium | 60  - Order: 000314-SHF [115550],Ardo, Belgium | 100  - Order: 000314-SHF [115550],Ardo, Belgium | 80  - Order: 000314-SHF [115550],Ardo, Belgium | 90  - Order: 000314-SHF [115550],Ardo, Belgium | 110  - Order: 000314-SHF [115550],Ardo, Belgium | 120  - Order: 000314-SHF [115550],Ardo, Belgium","70  - Order: 000314-SHF [115550],Ardo, Belgium",,29399,881.97,,,,4.0924,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 10:53 AM",
"20026, 80  - Order: 000217-SHF [115501],Ardo, Belgium",,20026,24/4/2025,20026-10059.pdf,21404.57,Order: 000217-SHF [115501],"20  - Order: 000217-SHF [115501],Ardo, Belgium | 10  - Order: 000217-SHF [115501],Ardo, Belgium | 30  - Order: 000217-SHF [115501],Ardo, Belgium | 40  - Order: 000217-SHF [115501],Ardo, Belgium | 50  - Order: 000217-SHF [115501],Ardo, Belgium | 60  - Order: 000217-SHF [115501],Ardo, Belgium | 70  - Order: 000217-SHF [115501],Ardo, Belgium | 90  - Order: 000217-SHF [115501],Ardo, Belgium | 80  - Order: 000217-SHF [115501],Ardo, Belgium | 130  - Order: 000217-SHF [115501],Ardo, Belgium | 110  - Order: 000217-SHF [115501],Ardo, Belgium | 100  - Order: 000217-SHF [115501],Ardo, Belgium | 150  - Order: 000217-SHF [115501],Ardo, Belgium | 120  - Order: 000217-SHF [115501],Ardo, Belgium | 140  - Order: 000217-SHF [115501],Ardo, Belgium","80  - Order: 000217-SHF [115501],Ardo, Belgium",,21404.57,642.1371,,,,4.0924,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 10:57 AM",
"20027, 90  - Order: 000217-SHF [115501],Ardo, Belgium",,20027,24/4/2025,20027-10060.pdf,29399.76,Order: 000217-SHF [115501],"20  - Order: 000217-SHF [115501],Ardo, Belgium | 10  - Order: 000217-SHF [115501],Ardo, Belgium | 30  - Order: 000217-SHF [115501],Ardo, Belgium | 40  - Order: 000217-SHF [115501],Ardo, Belgium | 50  - Order: 000217-SHF [115501],Ardo, Belgium | 60  - Order: 000217-SHF [115501],Ardo, Belgium | 70  - Order: 000217-SHF [115501],Ardo, Belgium | 90  - Order: 000217-SHF [115501],Ardo, Belgium | 80  - Order: 000217-SHF [115501],Ardo, Belgium | 130  - Order: 000217-SHF [115501],Ardo, Belgium | 110  - Order: 000217-SHF [115501],Ardo, Belgium | 100  - Order: 000217-SHF [115501],Ardo, Belgium | 150  - Order: 000217-SHF [115501],Ardo, Belgium | 120  - Order: 000217-SHF [115501],Ardo, Belgium | 140  - Order: 000217-SHF [115501],Ardo, Belgium","90  - Order: 000217-SHF [115501],Ardo, Belgium",,29399.76,881.9928,,,,4.0924,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 11:09 AM",
"20028, 90  - Order: 000314-SHF [115550],Ardo, Belgium",,20028,24/4/2025,20028-10062.pdf,23257.08,Order: 000314-SHF [115550],"20  - Order: 000314-SHF [115550],Ardo, Belgium | 30  - Order: 000314-SHF [115550],Ardo, Belgium | 40  - Order: 000314-SHF [115550],Ardo, Belgium | 50  - Order: 000314-SHF [115550],Ardo, Belgium | 10  - Order: 000314-SHF [115550],Ardo, Belgium | 70  - Order: 000314-SHF [115550],Ardo, Belgium | 60  - Order: 000314-SHF [115550],Ardo, Belgium | 100  - Order: 000314-SHF [115550],Ardo, Belgium | 80  - Order: 000314-SHF [115550],Ardo, Belgium | 90  - Order: 000314-SHF [115550],Ardo, Belgium | 110  - Order: 000314-SHF [115550],Ardo, Belgium | 120  - Order: 000314-SHF [115550],Ardo, Belgium","90  - Order: 000314-SHF [115550],Ardo, Belgium",,23257.08,697.7124,,,,4.0924,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 11:25 AM",
"20029, 80  - Order: 000314-SHF [115550],Ardo, Belgium",,20029,24/4/2025,20029-10061.pdf,24579.45,Order: 000314-SHF [115550],"20  - Order: 000314-SHF [115550],Ardo, Belgium | 30  - Order: 000314-SHF [115550],Ardo, Belgium | 40  - Order: 000314-SHF [115550],Ardo, Belgium | 50  - Order: 000314-SHF [115550],Ardo, Belgium | 10  - Order: 000314-SHF [115550],Ardo, Belgium | 70  - Order: 000314-SHF [115550],Ardo, Belgium | 60  - Order: 000314-SHF [115550],Ardo, Belgium | 100  - Order: 000314-SHF [115550],Ardo, Belgium | 80  - Order: 000314-SHF [115550],Ardo, Belgium | 90  - Order: 000314-SHF [115550],Ardo, Belgium | 110  - Order: 000314-SHF [115550],Ardo, Belgium | 120  - Order: 000314-SHF [115550],Ardo, Belgium","80  - Order: 000314-SHF [115550],Ardo, Belgium",,24579.45,737.3835,,,,4.0924,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 11:43 AM",
"20030, 10, 20, 30, 40, 60  - Order: 000451-SHF [115598],Vicenzi, Italy",,20030,24/4/2025,20030-10083.pdf,61636.8,Order: 000451-SHF [115598],"10, 20, 30, 40, 60  - Order: 000451-SHF [115598],Vicenzi, Italy | 10, 20  - Order: 000451-SHF [115598],Vicenzi, Italy","10, 20, 30, 40, 60  - Order: 000451-SHF [115598],Vicenzi, Italy",,61636.8,2157.288,,,,4.0888,,Shufersal,"Vicenzi, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 11:48 AM",
"20031, 10, 20  - Order: 000451-SHF [115598],Vicenzi, Italy",,20031,24/4/2025,20031-10084.pdf,19880,Order: 000451-SHF [115598],"10, 20, 30, 40, 60  - Order: 000451-SHF [115598],Vicenzi, Italy | 10, 20  - Order: 000451-SHF [115598],Vicenzi, Italy","10, 20  - Order: 000451-SHF [115598],Vicenzi, Italy",,19880,695.8,,,,4.0888,,Shufersal,"Vicenzi, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 11:52 AM",
"20033, 10  - Order: 000316-SHF [115403],Ciemme, Italy",,20033,24/4/2025,20033-10089.pdf,30457.56,Order: 000316-SHF [115403],"10  - Order: 000316-SHF [115403],Ciemme, Italy | 10  - Order: 000316-SHF [115403],Ciemme, Italy","10  - Order: 000316-SHF [115403],Ciemme, Italy",,30457.56,1066.0146,,,,4.08888,,Shufersal,"Ciemme, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 12:38 PM",
"20034, 10  - Order: 000316-SHF [115403],Ciemme, Italy",,20034,24/4/2025,20034-10092.pdf,29354.64,Order: 000316-SHF [115403],"10  - Order: 000316-SHF [115403],Ciemme, Italy | 10  - Order: 000316-SHF [115403],Ciemme, Italy","10  - Order: 000316-SHF [115403],Ciemme, Italy",,29354.64,1027.4124,,,,4.0888,,Shufersal,"Ciemme, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 12:41 PM",
"20002, 20, 40, 30  - Order: 000313-SHF [115410],La Doria, Italy",,20002,23/4/2025,,15960.96,Order: 000313-SHF [115410],"20, 40, 30  - Order: 000313-SHF [115410],La Doria, Italy | 10, 20  - Order: 000313-SHF [115410],La Doria, Italy","20, 40, 30  - Order: 000313-SHF [115410],La Doria, Italy",,15960.96,558.6336,,,,3.9814,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 23 Apr, 2025 at 10:39 AM",
"20003, 110  - Order: 000406-SHF [115448],Ardo, Belgium",,20003,23/4/2025,20003-10020.pdf,24514.43,Order: 000406-SHF [115448],"60  - Order: 000406-SHF [115448],Ardo, Belgium | 10, 30  - Order: 000406-SHF [115448],Ardo, Belgium | 110  - Order: 000406-SHF [115448],Ardo, Belgium | 20  - Order: 000406-SHF [115448],Ardo, Belgium | 40  - Order: 000406-SHF [115448],Ardo, Belgium | 100  - Order: 000406-SHF [115448],Ardo, Belgium | 120  - Order: 000406-SHF [115448],Ardo, Belgium | 50  - Order: 000406-SHF [115448],Ardo, Belgium | 90  - Order: 000406-SHF [115448],Ardo, Belgium | 80  - Order: 000406-SHF [115448],Ardo, Belgium | 70  - Order: 000406-SHF [115448],Ardo, Belgium | 130  - Order: 000406-SHF [115448],Ardo, Belgium | 160  - Order: 000406-SHF [115448],Ardo, Belgium | 140  - Order: 000406-SHF [115448],Ardo, Belgium | 150  - Order: 000406-SHF [115448],Ardo, Belgium","110  - Order: 000406-SHF [115448],Ardo, Belgium",,24514.43,735.4329,,,,3.9814,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 23 Apr, 2025 at 10:45 AM",
"20004, 90  - Order: 000406-SHF [115448],Ardo, Belgium",,20004,23/4/2025,20004-10021.pdf,19621.98,Order: 000406-SHF [115448],"60  - Order: 000406-SHF [115448],Ardo, Belgium | 10, 30  - Order: 000406-SHF [115448],Ardo, Belgium | 110  - Order: 000406-SHF [115448],Ardo, Belgium | 20  - Order: 000406-SHF [115448],Ardo, Belgium | 40  - Order: 000406-SHF [115448],Ardo, Belgium | 100  - Order: 000406-SHF [115448],Ardo, Belgium | 120  - Order: 000406-SHF [115448],Ardo, Belgium | 50  - Order: 000406-SHF [115448],Ardo, Belgium | 90  - Order: 000406-SHF [115448],Ardo, Belgium | 80  - Order: 000406-SHF [115448],Ardo, Belgium | 70  - Order: 000406-SHF [115448],Ardo, Belgium | 130  - Order: 000406-SHF [115448],Ardo, Belgium | 160  - Order: 000406-SHF [115448],Ardo, Belgium | 140  - Order: 000406-SHF [115448],Ardo, Belgium | 150  - Order: 000406-SHF [115448],Ardo, Belgium","90  - Order: 000406-SHF [115448],Ardo, Belgium",,19621.98,588.6594,,,,3.9814,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 23 Apr, 2025 at 10:52 AM",
"20005, 20, 30, 40  - Order: 000322-SHF [115505],La Doria, Italy",,20005,23/4/2025,20005-10022.pdf,15973.2,Order: 000322-SHF [115505],"20, 30, 40  - Order: 000322-SHF [115505],La Doria, Italy","20, 30, 40  - Order: 000322-SHF [115505],La Doria, Italy",,15973.2,559.062,,,,3.9814,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 23 Apr, 2025 at 11:04 AM",
"20006, 20  - Order: 000215-SHF [115497],La Doria, Italy",,20006,23/4/2025,20006-10025.pdf,16720,Order: 000215-SHF [115497],"10  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 10  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy","20  - Order: 000215-SHF [115497],La Doria, Italy",,16720,585.2,,,,3.9814,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 23 Apr, 2025 at 11:10 AM",
"20007, 10, 20, 30  - Order: 000252-SHF [115510],Pastificio Mennucci S.P.A, Italy",,20007,23/4/2025,20007-10026.pdf,79261.83,Order: 000252-SHF [115510],"10, 20, 30  - Order: 000252-SHF [115510],Pastificio Mennucci S.P.A, Italy","10, 20, 30  - Order: 000252-SHF [115510],Pastificio Mennucci S.P.A, Italy",,79261.83,2377.8549,,,,3.9814,,Shufersal,"Pastificio Mennucci S.P.A, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 23 Apr, 2025 at 11:25 AM",
"20008, 10, 20, 30  - Order: 000250-SHF [115498],Pastificio Mennucci S.P.A, Italy",,20008,23/4/2025,20008-10027.pdf,21336.48,Order: 000250-SHF [115498],"10, 20, 30  - Order: 000250-SHF [115498],Pastificio Mennucci S.P.A, Italy","10, 20, 30  - Order: 000250-SHF [115498],Pastificio Mennucci S.P.A, Italy",,21336.48,640.0944,,,,3.9814,,Shufersal,"Pastificio Mennucci S.P.A, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 23 Apr, 2025 at 11:35 AM",
"20009, 40, 50, 60  - Order: 000237-SHF [115513 ],Polenghi, Italy",,20009,23/4/2025,20009-10028.pdf,21619.49,Order: 000237-SHF [115513 ],"40, 50, 60  - Order: 000237-SHF [115513 ],Polenghi, Italy | 10, 20, 30  - Order: 000237-SHF [115513 ],Polenghi, Italy","40, 50, 60  - Order: 000237-SHF [115513 ],Polenghi, Italy",,21619.49,756.68215,,,,3.9814,,Shufersal,"Polenghi, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 23 Apr, 2025 at 11:39 AM",
"20010, 10  - Order: 000215-SHF [115497],La Doria, Italy",,20010,23/4/2025,20010-10040.pdf,16720,Order: 000215-SHF [115497],"10  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 10  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy","10  - Order: 000215-SHF [115497],La Doria, Italy",,16720,585.2,,,,3.9814,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 23 Apr, 2025 at 11:43 AM",
"20011, 10  - Order: 000215-SHF [115497],La Doria, Italy",,20011,23/4/2025,20011-10041.pdf,16456,Order: 000215-SHF [115497],"10  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 10  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy","10  - Order: 000215-SHF [115497],La Doria, Italy",,16456,575.96,,,,3.9814,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 23 Apr, 2025 at 11:47 AM",
