Request for Samples Title,Sample Request Status,Sample Payment Status,Samples images,Open Comments,Seller's Company Name,Buyer Company name,RFQ - Request for Quotation,Product,Seller Comment,ShipTo address same to company address?,Seller Company Email,Delivery Phone Number,Other sample from the same Company,Sample Quantity asked for,Samples Description,Comments and Delivery address,Samples Delivery Cost,Buyer - Sample Payment Status,Seller - Sample Payment Status,Courier company name,AWB Tracking ID,Tracking Url,Shipping Documentations,ETA,Sample Feedback from Buyer,Proposal Request ?,First Created,Last Updated,"ID",Sample Request Status
"Pastificio Mennucci S.P.A, Italy ShipTo Shufersal",,,icon-512-512-true-57f37f4cee9adec35b72a8b5ffb6d4cb.png,0,"Pastificio Mennucci S.P.A, Italy",Shufersal,,"000028 - Gluten free fusilli [Pastificio Mennucci S.P.A, Italy][], 000435 - Gluten free fusilli [Pastificio Mennucci S.P.A, Italy][Ta'aman]",,Yes.,g.salvadori@mennucci.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#111,
"Pata S.P.A, Italy ShipTo Shufersal",,,convert.jpg,0,"Pata S.P.A, Italy",Shufersal,,"000136 - TORTILLA
  CHIPS ""PAQUITA"" 50 gr [Pata S.P.A, Italy][Schestowitz]",,Yes.,export@pata.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#081,
"Pata S.P.A, Italy ShipTo Shufersal",,,convert.jpg,0,"Pata S.P.A, Italy",Shufersal,"1 L & 5L Sunflower oil, Shufersal","000137 - CORN CHIPS
  ""PAQUITA"" 50 gr [Pata S.P.A, Italy][Schestowitz]",,Yes.,export@pata.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Operation Manager on 25 May, 2025",#082,
"Pata S.P.A, Italy ShipTo Shufersal",,,l_83874.jpg,0,"Pata S.P.A, Italy",Shufersal,,"000138 - RIPPLED
  CHIPS (GRIGLIATA) 50 gr [Pata S.P.A, Italy][Schestowitz]",,Yes.,export@pata.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#086,
"Pata S.P.A, Italy ShipTo Shufersal",,,8002183011790.jpg,0,"Pata S.P.A, Italy",Shufersal,,"000140 - CORN CHIPS ""PAQUITA"" 200 gr., White corn flour [Pata S.P.A, Italy][Schestowitz]",,Yes.,export@pata.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#087,
"Pata S.P.A, Italy ShipTo Shufersal",,,8002183013572.jpg,0,"Pata S.P.A, Italy",Shufersal,"Potato Chips Snacks, Schestowitz",,,Yes.,export@pata.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Success Management on 16 Jan, 2025",#134,
"Pata S.P.A, Italy ShipTo Shufersal",,,203200042_1.jpg,0,"Pata S.P.A, Italy",Shufersal,,,,Yes.,export@pata.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#135,
"Polenghi, Italy ShipTo Shufersal",,,49eb1812-9e36-4262-9725-c2ffbce67015.jpg,0,"Polenghi, Italy",Shufersal,"Lemon Juice for salads, Ta'aman","000023 - PRESERVED LEMON JUICE 500 ML. [Polenghi, Italy][Ta'aman]",,Yes.,info@polenghigroup.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#106,
"Polenghi, Italy ShipTo Shufersal",,,866008_01_28-09-2017_g.jpg,0,"Polenghi, Italy",Shufersal,,"000024 - Natural Lemon Juice 250ml. [Polenghi, Italy][Ta'aman]",,Yes.,info@polenghigroup.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#107,
"Polenghi, Italy ShipTo Shufersal",,,6761.jpg,0,"Polenghi, Italy",Shufersal,,"000025 - PRESERVED LEMON JUICE 200 ML [Polenghi, Italy][Ta'aman]",,Yes.,info@polenghigroup.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#108,
"PRUTUL, Romania ShipTo Shufersal",New,,,0,"PRUTUL, Romania",Shufersal,"1 L & 5L Sunflower oil, Shufersal","000370 - Prutul Galati (Romania) - sunflower oil - 1L [PRUTUL, Romania][Shufersal]",,,office@prutul.ro,,,,3307326993,,,,,DHL,3307326993,,,26/5/2025,,,"By Operation Manager on 25 May, 2025","By Operation Manager on 25 May, 2025",#154,
"Vicenzi, Italy ShipTo Shufersal",,,1000_vz3132.png,0,"Vicenzi, Italy",Shufersal,"Cookies from Vicenzi, Shufersal","000092 - Ladyfingers ""Shufersal"" 200g [Vicenzi, Italy][Shufersal]",,Yes.,export@vicenzi.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#089,
"Vicenzi, Italy ShipTo Shufersal",,,"5185xE4SUKL._AC_UF894,1000_QL80_.jpg",0,"Vicenzi, Italy",Shufersal,,"000018 - CHOCOLATE CREAM FILLED COOKIES 150 GR
 [Vicenzi, Italy][Shufersal]",,Yes.,export@vicenzi.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#098,
"Vicenzi, Italy ShipTo Shufersal",,,"510WJJf706L._AC_UF1000,1000_QL80_.jpg",0,"Vicenzi, Italy",Shufersal,,"000019 - HAZELNUT CREAM FILLED COOKIES 150 GR [Vicenzi, Italy][Shufersal]",,Yes.,export@vicenzi.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#100,
"Vicenzi, Italy ShipTo Shufersal",,,247.jpg,0,"Vicenzi, Italy",Shufersal,,"000020 - Gluten free cookies chocolate filled [Vicenzi, Italy][Shufersal]",,Yes.,export@vicenzi.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#101,
"Vicenzi, Italy ShipTo Shufersal",,,"51DlK+HjlAL._AC_UF1000,1000_QL80_.jpg",0,"Vicenzi, Italy",Shufersal,,"000021 - Gluten free cookies lemon filled [Vicenzi, Italy][Shufersal]",,Yes.,export@vicenzi.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#103,
"Vicenzi, Italy ShipTo Shufersal",,,"619je7+mAGL._AC_UF1000,1000_QL80_.jpg",0,"Vicenzi, Italy",Shufersal,,"000022 - Gluten Free BISCUITS 125 G [Vicenzi, Italy][Shufersal]",,Yes.,export@vicenzi.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#105,
"Viube/Grupo Apex/ Mikso, Spain ShipTo Shufersal",,,MK033-Remolacha-Boniato-Naja-y-Patata-85g.png,0,"Viube/Grupo Apex/ Mikso, Spain",Shufersal,,"000094 - striped beetroot&white potato chips 85gr(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal], 000252 - Organic Couscous, Shufersal, 500 grams [Martino, Italy][], 000253 - Organic whole wheat couscous 500 grams Shufersal [Martino, Italy][], 000351 - striped beetroot&white potato chips 85gr [Viube/Grupo Apex/ Mikso, Spain][Shufersal]",,Yes.,hola@miksochips.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#091,
"Viube/Grupo Apex/ Mikso, Spain ShipTo Shufersal",,,MK001-Boniato-Naranja-y-Violeta-85g.png,0,"Viube/Grupo Apex/ Mikso, Spain",Shufersal,,"000095 - orange sweet potato&purple sweet chips85(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal], 000350 - orange sweet potato&purple sweet chips85 [Viube/Grupo Apex/ Mikso, Spain][Shufersal]",,Yes.,hola@miksochips.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#092,
"Viube/Grupo Apex/ Mikso, Spain ShipTo Shufersal",,,MK002-Chirivia-boniato-nja-y-remolacha-85g.png,0,"Viube/Grupo Apex/ Mikso, Spain",Shufersal,"Vegetable chips 85gr, Shufersal","000102 - Parsnip sweet potato&beetroot chips 85gr(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal], 000260 - קוסקוס בסגנון ים תיכוני - 300 גרם

 [trevijano, Spain][], 000261 - ריזוטו בסגנון ים תיכוני, 300 גרם
 [trevijano, Spain][], 000262 - ריזוטו טוסקנה - 280 גרם


 [trevijano, Spain][], 000263 - קוסקוס מרוקאי - 300 גרם



 [trevijano, Spain][], 000348 - Parsnip sweet potato&beetroot chips 85gr [Viube/Grupo Apex/ Mikso, Spain][Shufersal]",,Yes.,hola@miksochips.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Success Management on 13 Jan, 2025",#099,
"Viube/Grupo Apex/ Mikso, Spain ShipTo Ta'aman",New,,,0,"Viube/Grupo Apex/ Mikso, Spain",Ta'aman,"Vegetable  chips & snacks , Ta'aman",,,,hola@miksochips.com,,,,881248141958 ,,,,,FEDEX,880419066300,,,,,,"By Operation Manager on 20 Apr, 2025","By Operation Manager on 25 May, 2025",#153,
"Yiwu Daqian Food Co., China ShipTo",New,,,0,"Yiwu Daqian Food Co., China",,"Gummi Candies , Foodz",,,,richard_hepinfood@163.com,,,,,,,,,DHL,1820412672  ,,,28/5/2025,,,"By Operation Manager on 25 May, 2025","By Operation Manager on 25 May, 2025",#156,
